"
",,,,,
,,,,,
Digi-Key,,,,,
,,http://www.digikey.com/,,,
,,for led strips see the amazon list,,,
,,photodetectors:,-,,
,100,365-1481-1-ND,PHOTODARLINGTON NPN CLR PLCC-2,336,33.60
,,LCD:,-,,
,25,67-1781-ND,LCD MODULE 16x2 CHARACTER-,"7,056",176.40
,,speakers / microphones:,-,,
,50,458-1124-ND,SPEAKER 8 OHM .25W 23MM ROUND,0.5888,29.44
,25,668-1296-ND,MIC COND ANALOG OMNI -38DB,"1,175",29.38
,25,423-1212-1-ND,MIC MEMS DIGITAL PDM OMNI -22DB,1.3112,32.78
,,temperature:,-,,
,25,235-1109-1-ND,THERMISTOR NTC 10K OHM 10% 1206-,"2,499",62.48
,25,PTS12061.0KCT-ND,TEMP SENSOR RTD 1.0K OHM 1206,"3,203","80,075"
,,hall effect:,,,
,25,620-1021-1-ND,IC SENSOR HALL EFFECT SOT23W,"1,386",34.65
,,accelerometer:,,,
,25,497-14085-1-ND,ACCELEROMETER 12LGA,"2,552",63.80
,,op-amp:,-,,
,100,AD8605ARTZREEL7CT-ND,IC OPAMP SNGL R-R I-O LN SOT23-5,1.3524,135.24
,,microcontrollers:,-,,
,200,ATTINY45V-10SU-ND,IC AVR MCU 4K 10MHZ 8SOIC-,1.23,246.00
,100,ATTINY44A-SSU-ND,IC MCU AVR 4K FLASH 20MHZ 14SOIC-,"1,176",117.60
,50,ATMEGA328P-AU-ND,IC MCU 8BIT 32KB FLASH 32TQFP,1.9156,95.78
,25,ATMEGA16U2-AU-ND,IC MCU 8BIT 16KB FLASH 32TQFP,"3,528",88.20
,25,ATMEGA16U4-AU-ND,IC MCU 8BIT 16KB FLASH 44TQFP,4.6268,115.67
,50,ATXMEGA8E5-AU-ND,IC MCU 8BIT 8KB FLASH 32TQFP,1.9316,96.58
,50,ATXMEGA16A4U-AU-ND,IC MCU 8BIT 16KB FLASH 44TQFP,2.7242,136.21
,2,ATATMEL-ICE-BASIC-ND,EMU FOR SAM AND AVR MCU BASIC,54.11,108.22
,2,ATXMEGAE5-XPLD-ND,XMEGA E5 XPLAINED EVAL KIT,36.36,72.72
,25,497-13318-ND ,IC MCU 32BIT 256KB FLASH 48LQFP,6.4208,160.52
,3,497-13192-ND,KIT EVAL DISCOVERY STM32F3,10.88,32.64
,3,497-14360-ND,BOARD NUCLEO STM32F4 SERIES,10.33,30.99
,25,CY8C4245PVI-482-ND,IC MCU 32BIT 32KB FLASH 28SSOP,2.8312,70.78
,10,428-3344-ND,KIT PSOC 4200 PROGRAMMING,3.99,39.90
,,crystal:,-,,
,200,XC1109CT-ND,CER RESONATOR 20.00MHZ SMD,0.4275,85.5
,200,535-10004-1-ND,RESONATOR CER 8.00 MHZ W/CAP SMD,0.2475,49.5
,100,644-1039-1-ND,CRYSTAL 20.000000 MHZ 8PF SMD,486,48.6
,,radios:,,,
,25,576-1338-ND,IC ASK TRANSMITTER UHF 8SOIC,"3,106",77.65
,25,576-1961-5-ND,IC RECEIVER 300-440MHZ 8-SOIC,"3,106",77.65
,25,MRF49XA-I/ST-ND,IC RF TXRX 433/868/915 16-TSSOP,2.16,54
,10,MRF89XAM8A-I/RM-ND,TXRX MODULE 868MHZ ULP SUB GHZ,7.95,79.5
,10,MRF24J40MA-I/RM-ND ,MODULE RF TXRX PICTAIL PLUS,9.12,91.2
,10,450-0104-ND ,BLUETOOTH MODULE TIWI-UB2,8.92,89.2
,5,296-35512-1-ND,MOD SIMPLELINK WI-FI CC3000,22.68,113.4
,,buttons and switches:,-,,
,50,401-2012-1-ND,SWITCH SLIDE SPDT 12V 100MA GW-,0.8374,41.87
,100,SW262CT-ND,SWITCH TACT SMD W-GND 160GF,0.7394,73.94
,,magnets:,-,,
,100,469-1004-ND,"MAGNET 1-4""DIA X 1",0.2925,29.25
,100,469-1002-ND,"MAGNET 1-2""DIA X 1",975,97.50
,,headers:,-,,
,10,ED23064-ND,CONN SOCKET 64POS.100 SMT-,7.77,77.70
,10,ED2164-ND,CONN HEADER 64POS.100 R-ANGLE,"8,946",89.46
,10,S1143E-36-ND,CONN HEADER 36POS .100 R-A SMD,3.3,33.00
,,jacks / plugs:,-,,
,100,CP1-023PJCT-ND,CONN PWR JACK DC 0.65X2.75MM SMD-,0.8234,82.34
,100,CP-012-ND,CONN DC PWR PLUG 0.7X2.35MM-,0.7763,77.63
,50,CP-002AHPJCT-ND,CONN-POWER JACK 2.1MM SMD,"1,469",73.45
,100,CP-2501SP-ND,CONN PLUG STEREO 2.5MM W-COVER,828,82.80
,100,CP1-2533SJCT-ND,CONN JACK STEREO 3PIN 2.5MM SMD-,0.8779,87.79
,50,CP-1453-ND,CONN RCA PLUG W-STRAIN REL BLK,1.41,70.50
,50,CP-1459-1-ND,CONN RCA JACK METAL R/A BLK SMD,"1,118",55.90
,10,SC1323-ND,CONN JACK PHONO 2POS SHIELDED-,3,30.00
,,ribbon / cable connectors:,-,,
,25,HFP09H-ND,CONN DB9 FEMALE PLASTIC SHELL-,1.61,40.25
,,possible substitute for obsolete part:,,,
,25,HFM09H-ND,CONN DB9 FEMALE METAL SHELL GOLD,"1,659",41.48
,25,HMP25H-ND,CONN DB25 MALE PLASTIC SHELL-,"2,026",50.65
,,possible substitute for obsolete part:,,,
,25,S9577-ND,CONN D-SUB PLUG 25POS IDC GOLD,"2,189",54.73
,1,AE10M-300-ND,CABLE 10 COND 300' MULTI RIBBON,125.45,125.45
,,screw terminals:,-,,
,100,ED1514-ND,TERMINAL BLOCK 3.5MM 2POS PCB-,463,46.30
,100,ED1515-ND,TERMINAL BLOCK 3.5MM 3POS PCB-,666,66.60
,,test clips:,-,,
,5,923655-08-ND,8-PN GOLD SMD TEST CLIP-,15.65,78.25
,,antistatic bags:,-,,
,100,16-1032-ND,"BAG ESD SHLD 3""X5"" METAL-IN ZIP-",0.1025,10.25
,100,16-1034-ND,"BAG ESD SHLD 5""X8"" METAL-IN ZIP-",0.1941,19.41
,200,16-1036-ND,"BAG ESD SHLD 8""X10"" METAL-IN ZIP-",0.3296,65.92
,,antistatic packaging:,,,
,1,12660-ND,"FOAM HI DENSITY X-INK 1/4"" 24X35",62.67,62.67
,,heat shrink tubing:,-,,
,5,A116B-4-ND,HEATSHRINK 1-16 IN X 4FT BLACK,0.76,3.80
,5,A018B-4-ND,HEATSHRINK 1-8 IN X 4FT BLACK,0.86,4.30
,5,A014B-4-ND,HEATSHRINK 1-4 IN X 4FT BLACK,1.32,6.60
,5,A038B-4-ND,HEATSHRINK 3-8 IN X 4FT BLACK,1.46,7.30
